SampleName	percent	reads	taxon_id	taxon_name
SNITE_G_Crd_SRR11815198	2.046389	421394	1239	Firmicutes
SNITE_G_Crd_SRR11815198	1.583245	326023	5204	Basidiomycota
SNITE_G_Crd_SRR11815198	0.097372	20051	10239	Viruses
SNITE_G_Crd_SRR11815198	5.872486	1209267	NA	cannot_be_assigned_to_a_non-viral_phylum
SNITE_G_Crd_SRR11815198	6.090852	1254233	NA	belong_to_a_non-viral_phylum_with_less_than_1%_of_all_reads
SNITE_G_Crd_SRR11815198	64.352077	13251431	NA	unclassified
SNITE_G_Crd_SRR11815199	9.770739	3254552	1224	Proteobacteria
SNITE_G_Crd_SRR11815199	3.244554	1080734	4890	Ascomycota
SNITE_G_Crd_SRR11815199	2.742227	913413	1239	Firmicutes
SNITE_G_Crd_SRR11815199	2.508922	835701	201174	Actinobacteria
SNITE_G_Crd_SRR11815199	1.935965	644854	5204	Basidiomycota
SNITE_G_Crd_SRR11815199	1.192374	397170	1913637	Mucoromycota
SNITE_G_Crd_SRR11815199	0.113104	37674	10239	Viruses
SNITE_G_Crd_SRR11815199	8.369019	2787651	NA	cannot_be_assigned_to_a_non-viral_phylum
SNITE_G_Crd_SRR11815199	5.193825	1730020	NA	belong_to_a_non-viral_phylum_with_less_than_1%_of_all_reads
SNITE_G_Crd_SRR11815199	64.929277	21627404	NA	unclassified
SNITE_G_Crd_SRR11815200	8.897395	2695508	1224	Proteobacteria
SNITE_G_Crd_SRR11815200	3.731973	1130619	201174	Actinobacteria
SNITE_G_Crd_SRR11815200	3.660751	1109042	6029	Microsporidia
SNITE_G_Crd_SRR11815200	2.972272	900464	4890	Ascomycota
SNITE_G_Crd_SRR11815200	2.258572	684245	1117	Cyanobacteria
SNITE_G_Crd_SRR11815200	1.993892	604059	1239	Firmicutes
SNITE_G_Crd_SRR11815200	1.599734	484647	5204	Basidiomycota
SNITE_G_Crd_SRR11815200	1.149743	348320	1913637	Mucoromycota
SNITE_G_Crd_SRR11815200	0.113073	34256	10239	Viruses
SNITE_G_Crd_SRR11815200	6.536065	1980132	NA	cannot_be_assigned_to_a_non-viral_phylum
SNITE_G_Crd_SRR11815200	5.364686	1625257	NA	belong_to_a_non-viral_phylum_with_less_than_1%_of_all_reads
SNITE_G_Crd_SRR11815200	61.721849	18698927	NA	unclassified
SNITE_G_Crd_SRR11815201	9.230601	2335183	1224	Proteobacteria
SNITE_G_Crd_SRR11815201	4.005767	1013390	4890	Ascomycota
SNITE_G_Crd_SRR11815201	2.245635	568107	201174	Actinobacteria
SNITE_G_Crd_SRR11815201	1.695127	428838	1239	Firmicutes
SNITE_G_Crd_SRR11815201	1.608619	406953	5204	Basidiomycota
SNITE_G_Crd_SRR11815201	0.082322	20826	10239	Viruses
SNITE_G_Crd_SRR11815201	8.161765	2064786	NA	cannot_be_assigned_to_a_non-viral_phylum
SNITE_G_Crd_SRR11815201	5.251978	1328660	NA	belong_to_a_non-viral_phylum_with_less_than_1%_of_all_reads
SNITE_G_Crd_SRR11815201	67.718178	17131532	NA	unclassified
SNITE_G_Crd_SRR11815202	10.19359	2134520	1224	Proteobacteria
SNITE_G_Crd_SRR11815202	4.13279	865399	4890	Ascomycota
SNITE_G_Crd_SRR11815202	2.361605	494516	1239	Firmicutes
SNITE_G_Crd_SRR11815202	2.239264	468898	201174	Actinobacteria
SNITE_G_Crd_SRR11815202	1.929257	403983	5204	Basidiomycota
SNITE_G_Crd_SRR11815202	0.092202	19307	10239	Viruses
SNITE_G_Crd_SRR11815202	8.7876	1840108	NA	cannot_be_assigned_to_a_non-viral_phylum
SNITE_G_Crd_SRR11815202	5.849867	1224952	NA	belong_to_a_non-viral_phylum_with_less_than_1%_of_all_reads
SNITE_G_Crd_SRR11815202	64.413828	13488143	NA	unclassified
SNITE_G_Crd_SRR11815203	10.350223	1690014	1224	Proteobacteria
SNITE_G_Crd_SRR11815203	3.500221	571526	4890	Ascomycota
SNITE_G_Crd_SRR11815203	2.611603	426430	1239	Firmicutes
SNITE_G_Crd_SRR11815203	2.33319	380970	201174	Actinobacteria
SNITE_G_Crd_SRR11815203	1.898589	310007	5204	Basidiomycota
SNITE_G_Crd_SRR11815203	0.08767	14315	10239	Viruses
SNITE_G_Crd_SRR11815203	8.595673	1403526	NA	cannot_be_assigned_to_a_non-viral_phylum
SNITE_G_Crd_SRR11815203	5.632673	919719	NA	belong_to_a_non-viral_phylum_with_less_than_1%_of_all_reads
SNITE_G_Crd_SRR11815203	64.990157	10611779	NA	unclassified
SNITE_G_Crd_SRR11815204	10.197141	2870968	1224	Proteobacteria
SNITE_G_Crd_SRR11815204	3.946412	1111098	4890	Ascomycota
SNITE_G_Crd_SRR11815204	2.526401	711299	1239	Firmicutes
SNITE_G_Crd_SRR11815204	2.512112	707276	201174	Actinobacteria
SNITE_G_Crd_SRR11815204	1.783078	502019	5204	Basidiomycota
SNITE_G_Crd_SRR11815204	1.019303	286981	1913637	Mucoromycota
SNITE_G_Crd_SRR11815204	0.09694	27293	10239	Viruses
SNITE_G_Crd_SRR11815204	9.0432	2546080	NA	cannot_be_assigned_to_a_non-viral_phylum
SNITE_G_Crd_SRR11815204	4.786991	1347760	NA	belong_to_a_non-viral_phylum_with_less_than_1%_of_all_reads
SNITE_G_Crd_SRR11815204	64.088416	18043861	NA	unclassified
SNITE_G_Crd_SRR11815205	10.755281	3148054	1224	Proteobacteria
SNITE_G_Crd_SRR11815205	4.115352	1204557	4890	Ascomycota
SNITE_G_Crd_SRR11815205	2.5744	753523	1239	Firmicutes
SNITE_G_Crd_SRR11815205	2.440324	714279	201174	Actinobacteria
SNITE_G_Crd_SRR11815205	2.245007	657110	5204	Basidiomycota
SNITE_G_Crd_SRR11815205	1.075609	314829	1913637	Mucoromycota
SNITE_G_Crd_SRR11815205	0.081883	23967	10239	Viruses
SNITE_G_Crd_SRR11815205	9.177506	2686242	NA	cannot_be_assigned_to_a_non-viral_phylum
SNITE_G_Crd_SRR11815205	5.173768	1514354	NA	belong_to_a_non-viral_phylum_with_less_than_1%_of_all_reads
SNITE_G_Crd_SRR11815205	62.360865	18252928	NA	unclassified
SNITE_G_Crd_SRR11815206	11.086348	2435515	1224	Proteobacteria
SNITE_G_Crd_SRR11815206	3.517581	772763	4890	Ascomycota
SNITE_G_Crd_SRR11815206	2.104663	462365	1239	Firmicutes
SNITE_G_Crd_SRR11815206	2.088681	458854	5204	Basidiomycota
SNITE_G_Crd_SRR11815206	2.079614	456862	201174	Actinobacteria
SNITE_G_Crd_SRR11815206	0.0733	16103	10239	Viruses
SNITE_G_Crd_SRR11815206	8.478708	1862653	NA	cannot_be_assigned_to_a_non-viral_phylum
SNITE_G_Crd_SRR11815206	4.973604	1092631	NA	belong_to_a_non-viral_phylum_with_less_than_1%_of_all_reads
SNITE_G_Crd_SRR11815206	65.597498	14410850	NA	unclassified
SNITE_S_Iso_SRR11815208	9.308983	1969285	1224	Proteobacteria
SNITE_S_Iso_SRR11815208	3.369946	712901	4890	Ascomycota
SNITE_S_Iso_SRR11815208	2.366772	500683	1239	Firmicutes
SNITE_S_Iso_SRR11815208	2.319851	490757	201174	Actinobacteria
SNITE_S_Iso_SRR11815208	1.829931	387116	5204	Basidiomycota
SNITE_S_Iso_SRR11815208	1.004345	212466	1913637	Mucoromycota
SNITE_S_Iso_SRR11815208	0.096934	20506	10239	Viruses
SNITE_S_Iso_SRR11815208	7.869486	1664764	NA	cannot_be_assigned_to_a_non-viral_phylum
SNITE_S_Iso_SRR11815208	4.808502	1017223	NA	belong_to_a_non-viral_phylum_with_less_than_1%_of_all_reads
SNITE_S_Iso_SRR11815208	67.02525	14178973	NA	unclassified
SNITE_S_Iso_SRR11815209	10.06012	1566624	1224	Proteobacteria
SNITE_S_Iso_SRR11815209	4.237258	659852	4890	Ascomycota
SNITE_S_Iso_SRR11815209	1.982756	308767	201174	Actinobacteria
SNITE_S_Iso_SRR11815209	1.687488	262786	5204	Basidiomycota
SNITE_S_Iso_SRR11815209	1.580556	246134	1239	Firmicutes
SNITE_S_Iso_SRR11815209	1.061395	165287	1913637	Mucoromycota
SNITE_S_Iso_SRR11815209	0.101666	15832	10239	Viruses
SNITE_S_Iso_SRR11815209	10.001504	1557496	NA	cannot_be_assigned_to_a_non-viral_phylum
SNITE_S_Iso_SRR11815209	4.624656	720180	NA	belong_to_a_non-viral_phylum_with_less_than_1%_of_all_reads
SNITE_S_Iso_SRR11815209	64.6626	10069660	NA	unclassified
SNITE_S_Iso_SRR11815210	10.737643	2864275	1224	Proteobacteria
SNITE_S_Iso_SRR11815210	4.14672	1106141	4890	Ascomycota
SNITE_S_Iso_SRR11815210	2.448143	653044	201174	Actinobacteria
SNITE_S_Iso_SRR11815210	2.043282	545047	1239	Firmicutes
SNITE_S_Iso_SRR11815210	1.850169	493534	5204	Basidiomycota
SNITE_S_Iso_SRR11815210	1.154947	308083	1913637	Mucoromycota
SNITE_S_Iso_SRR11815210	0.075767	20211	10239	Viruses
SNITE_S_Iso_SRR11815210	10.147947	2706973	NA	cannot_be_assigned_to_a_non-viral_phylum
SNITE_S_Iso_SRR11815210	4.794992	1279068	NA	belong_to_a_non-viral_phylum_with_less_than_1%_of_all_reads
SNITE_S_Iso_SRR11815210	62.600386	16698703	NA	unclassified
SNITE_S_Iso_SRR11815211	10.012712	2966229	1224	Proteobacteria
SNITE_S_Iso_SRR11815211	4.646434	1376489	4890	Ascomycota
SNITE_S_Iso_SRR11815211	2.553902	756584	201174	Actinobacteria
SNITE_S_Iso_SRR11815211	1.547172	458344	1239	Firmicutes
SNITE_S_Iso_SRR11815211	1.342761	397788	5204	Basidiomycota
SNITE_S_Iso_SRR11815211	1.015435	300819	1913637	Mucoromycota
SNITE_S_Iso_SRR11815211	0.13589	40257	10239	Viruses
SNITE_S_Iso_SRR11815211	10.670178	3161001	NA	cannot_be_assigned_to_a_non-viral_phylum
SNITE_S_Iso_SRR11815211	4.352199	1289323	NA	belong_to_a_non-viral_phylum_with_less_than_1%_of_all_reads
SNITE_S_Iso_SRR11815211	63.723326	18877799	NA	unclassified
SNITE_S_Iso_SRR11815212	9.727861	2506221	1224	Proteobacteria
SNITE_S_Iso_SRR11815212	3.739691	963469	4890	Ascomycota
SNITE_S_Iso_SRR11815212	2.474347	637474	1239	Firmicutes
SNITE_S_Iso_SRR11815212	2.430331	626134	201174	Actinobacteria
SNITE_S_Iso_SRR11815212	1.687053	434641	5204	Basidiomycota
SNITE_S_Iso_SRR11815212	0.105895	27282	10239	Viruses
SNITE_S_Iso_SRR11815212	9.394597	2420361	NA	cannot_be_assigned_to_a_non-viral_phylum
