SampleID	Run	BioProject	Species	BioSample	RearingCondition	Bytes	CenterName	Experiment	Instrument	LibraryLayout	LibrarySelection	LibrarySource	Platform	ReleaseDate	SampleName	SRAStudy	LibraryName	AvgSpotLen	Bases	geo_loc_name_country	geo_loc_name_country_continent	Collection_date	Sex	Dev_stage	Age	Tissue	RearingConditions	Isolate	strain	growth_condition	Inputtrim_reads	Avread_length	Unique_map	Unique_rate	Multipleloci_map	Multipleloci_rate	Toomany_map	Toomany_rate	Map_SUM	Mismatch_unmap	Short_unmap	Short_rate	Other_unmap	Other_rate
GREG-S-ICT-9-FAT_S3	NA	NA	Schistocerca_gregaria	NA	Isolated	NA	TEXAS_A&M_UNIVERSITY	NA	NovaSeq_SP	PAIRED	cDNA	TRANSCRIPTOMIC	ILLUMINA	NA	NA	NA	NA	NA	NA	NA	NA	2022	female	Last_nymphal_instar	Last_nymphal_instar	Fat_Body	Isolated	NA	NA	NA	38271721	285	9129088	23.9	4090532	10.7	4640461	12.1	46.7	0	11082697	29.0	9328943	24.4
SAMER_G_Crd_SRR11815246	SRR11815246	PRJNA633949	Schistocerca_americana	SAMN14978072	Crowded	3460612014	TEXAS_A&M_UNIVERSITY	SRX8366228	Illumina_HiSeq_4000	PAIRED	RT-PCR	TRANSCRIPTOMIC	ILLUMINA	2020-05-20T00:00:00Z	SAME_C5_H	SRP262381	SAME_C5_H_lib	300	8460091800	NA	NA	2016	female	Last_nymphal_instar	NA	Head	Crowded	SAME_C5	NA	NA	27697341	290	21888042	79.0	3524397	16.1	1024075	3.7	98.8	0	580664	2.1	680163	2.5
SAMER_G_Crd_SRR11815247	SRR11815247	PRJNA633949	Schistocerca_americana	SAMN14978071	Crowded	2530232684	TEXAS_A&M_UNIVERSITY	SRX8366227	Illumina_HiSeq_4000	PAIRED	RT-PCR	TRANSCRIPTOMIC	ILLUMINA	2020-05-20T00:00:00Z	SAME_C4_H	SRP262381	SAME_C4_H_lib	300	6093805500	NA	NA	2016	female	Last_nymphal_instar	NA	Head	Crowded	SAME_C4	NA	NA	19938781	289	15446185	77.5	2735333	17.7	978872	4.9	100.1	0	371056	1.9	407335	2.0
SAMER_G_Crd_SRR11815248	SRR11815248	PRJNA633949	Schistocerca_americana	SAMN14978070	Crowded	3804716030	TEXAS_A&M_UNIVERSITY	SRX8366226	Illumina_HiSeq_4000	PAIRED	RT-PCR	TRANSCRIPTOMIC	ILLUMINA	2020-05-20T00:00:00Z	SAME_C3_H	SRP262381	SAME_C3_H_lib	300	10327998600	NA	NA	2016	female	Last_nymphal_instar	NA	Head	Crowded	SAME_C3	NA	NA	33692862	294	26830911	79.6	4061768	15.1	1128948	3.4	98.1	0	971233	2.9	700002	2.1
SAMER_G_Crd_SRR11815249	SRR11815249	PRJNA633949	Schistocerca_americana	SAMN14978069	Crowded	3638956366	TEXAS_A&M_UNIVERSITY	SRX8366225	Illumina_HiSeq_4000	PAIRED	RT-PCR	TRANSCRIPTOMIC	ILLUMINA	2020-05-20T00:00:00Z	SAME_C2_H	SRP262381	SAME_C2_H_lib	300	9298561500	NA	NA	2016	female	Last_nymphal_instar	NA	Head	Crowded	SAME_C2	NA	NA	30324112	293	24271067	80.0	3737455	15.4	1060336	3.5	98.9	0	759234	2.5	496020	1.6
SAMER_G_Crd_SRR11815250	SRR11815250	PRJNA633949	Schistocerca_americana	SAMN14978068	Crowded	2638673079	TEXAS_A&M_UNIVERSITY	SRX8366224	Illumina_HiSeq_4000	PAIRED	RT-PCR	TRANSCRIPTOMIC	ILLUMINA	2020-05-20T00:00:00Z	SAME_C1_H	SRP262381	SAME_C1_H_lib	300	7103251800	NA	NA	2016	female	Last_nymphal_instar	NA	Head	Crowded	SAME_C1	NA	NA	23166718	294	18090163	78.1	2804850	15.5	905532	3.9	97.5	0	622900	2.7	743273	3.2
SAMER_S_Iso_SRR11815256	SRR11815256	PRJNA633949	Schistocerca_americana	SAMN14978062	Isolated	2418779092	TEXAS_A&M_UNIVERSITY	SRX8366217	Illumina_HiSeq_4000	PAIRED	RT-PCR	TRANSCRIPTOMIC	ILLUMINA	2020-05-20T00:00:00Z	SAME_I5_H	SRP262381	SAME_I5_H_lib	300	5245406100	NA	NA	2016	female	Last_nymphal_instar	NA	Head	Isolated	SAME_I5	NA	NA	17002118	270	13705776	80.6	1822306	13.3	582055	3.4	97.3	0	416440	2.4	475541	2.8
SAMER_S_Iso_SRR11815257	SRR11815257	PRJNA633949	Schistocerca_americana	SAMN14978061	Isolated	2885764881	TEXAS_A&M_UNIVERSITY	SRX8366216	Illumina_HiSeq_4000	PAIRED	RT-PCR	TRANSCRIPTOMIC	ILLUMINA	2020-05-20T00:00:00Z	SAME_I4_H	SRP262381	SAME_I4_H_lib	300	7024490700	NA	NA	2016	female	Last_nymphal_instar	NA	Head	Isolated	SAME_I4	NA	NA	23012250	290	17852879	77.6	3005595	16.8	1072531	4.7	99.1	0	493682	2.1	587563	2.6
SAMER_S_Iso_SRR11815258	SRR11815258	PRJNA633949	Schistocerca_americana	SAMN14978060	Isolated	3618222149	TEXAS_A&M_UNIVERSITY	SRX8366215	Illumina_HiSeq_4000	PAIRED	RT-PCR	TRANSCRIPTOMIC	ILLUMINA	2020-05-20T00:00:00Z	SAME_I3_H	SRP262381	SAME_I3_H_lib	300	9889713900	NA	NA	2016	female	Last_nymphal_instar	NA	Head	Isolated	SAME_I3	NA	NA	32287154	295	25534383	79.1	3925256	15.4	1263434	3.9	98.4	0	867445	2.7	696636	2.2
SAMER_S_Iso_SRR11815259	SRR11815259	PRJNA633949	Schistocerca_americana	SAMN14978059	Isolated	3575880477	TEXAS_A&M_UNIVERSITY	SRX8366214	Illumina_HiSeq_4000	PAIRED	RT-PCR	TRANSCRIPTOMIC	ILLUMINA	2020-05-20T00:00:00Z	SAME_I2_H	SRP262381	SAME_I2_H_lib	300	9138264600	NA	NA	2016	female	Last_nymphal_instar	NA	Head	Isolated	SAME_I2	NA	NA	29762201	293	23568980	79.2	3019415	12.8	1158099	3.9	95.9	0	999908	3.4	1015799	3.4
SAMER_S_Iso_SRR11815260	SRR11815260	PRJNA633949	Schistocerca_americana	SAMN14978058	Isolated	2587439877	TEXAS_A&M_UNIVERSITY	SRX8366213	Illumina_HiSeq_4000	PAIRED	RT-PCR	TRANSCRIPTOMIC	ILLUMINA	2020-05-20T00:00:00Z	SAME_I1_H	SRP262381	SAME_I1_H_lib	300	7006530900	NA	NA	2016	female	Last_nymphal_instar	NA	Head	Isolated	SAME_I1	NA	NA	22909470	294	16458764	71.8	3438378	20.9	1243273	5.4	98.2	0	639204	2.8	1129851	4.9
SCANC_G_Crd_SRR17648043	SRR17648043	PRJNA798078	Schistocerca_cancellata	SAMN25046311	NA	6297660170	TEXAS_A&M_UNIVERSITY	SRX13816319	Illumina_HiSeq_4000	PAIRED	cDNA	TRANSCRIPTOMIC	ILLUMINA	2022-01-17T00:00:00Z	sccf_6c2__h	SRP355464	sccf_6c2__h	300	16238616900	Argentina	South_America	2016-03	female	Last_nymphal_instar	Last_nymphal_instar	Head	Crowded	sccf_6c2	NA	NA	40653380	291	30210809	74.3	6074598	14.9	3066786	7.5	96.8	0	891636	2.2	409551	1.0
SCANC_G_Crd_SRR17648049	SRR17648049	PRJNA798078	Schistocerca_cancellata	SAMN25046305	NA	5899555924	TEXAS_A&M_UNIVERSITY	SRX13816313	Illumina_HiSeq_4000	PAIRED	cDNA	TRANSCRIPTOMIC	ILLUMINA	2022-01-17T00:00:00Z	c6g6_h	SRP355464	c6g6_h	300	15161609400	Argentina	South_America	2016-03	female	Last_nymphal_instar	Last_nymphal_instar	Head	Crowded	c6g6	NA	NA	38083836	291	26747585	70.2	5890389	15.5	3464620	9.1	94.8	0	1002195	2.6	979047	2.6
SCANC_G_Crd_SRR17648057	SRR17648057	PRJNA798078	Schistocerca_cancellata	SAMN25046315	NA	5048253225	TEXAS_A&M_UNIVERSITY	SRX13816305	Illumina_HiSeq_4000	PAIRED	cDNA	TRANSCRIPTOMIC	ILLUMINA	2022-01-17T00:00:00Z	sccf_g65_h	SRP355464	sccf_g65_h	300	12654777600	Argentina	South_America	2016-03	female	Last_nymphal_instar	Last_nymphal_instar	Head	Crowded	sccf_g65	NA	NA	30278123	291	21538302	71.1	4636306	15.3	2891561	9.6	96.0	0	773436	2.6	438518	1.4
SCANC_G_Crd_SRR17648059	SRR17648059	PRJNA798078	Schistocerca_cancellata	SAMN25046313	NA	3931603470	TEXAS_A&M_UNIVERSITY	SRX13816303	Illumina_HiSeq_4000	PAIRED	cDNA	TRANSCRIPTOMIC	ILLUMINA	2022-01-17T00:00:00Z	sccf_g61_h	SRP355464	sccf_g61_h	300	9775288500	Argentina	South_America	2016-03	female	Last_nymphal_instar	Last_nymphal_instar	Head	Crowded	sccf_g61	NA	NA	24054951	291	16402460	68.2	4343187	18.1	2354144	9.8	96.0	0	551478	2.3	403682	1.7
SCANC_G_Crd_SRR17648061	SRR17648061	PRJNA798078	Schistocerca_cancellata	SAMN25046303	NA	4212905178	TEXAS_A&M_UNIVERSITY	SRX13816301	Illumina_HiSeq_4000	PAIRED	cDNA	TRANSCRIPTOMIC	ILLUMINA	2022-01-17T00:00:00Z	c6g4_h	SRP355464	c6g4_h	300	10798728300	Argentina	South_America	2016-03	female	Last_nymphal_instar	Last_nymphal_instar	Head	Crowded	c6g4	NA	NA	27364766	291	19477290	71.2	4328860	15.8	2253440	8.2	95.2	0	698296	2.6	606880	2.2
SCANC_S_Iso_SRR17648045	SRR17648045	PRJNA798078	Schistocerca_cancellata	SAMN25046309	NA	4478904458	TEXAS_A&M_UNIVERSITY	SRX13816317	Illumina_HiSeq_4000	PAIRED	cDNA	TRANSCRIPTOMIC	ILLUMINA	2022-01-17T00:00:00Z	i304_h	SRP355464	i304_h	300	11500944300	Argentina	South_America	2016-03	female	Last_nymphal_instar	Last_nymphal_instar	Head	Isolated	i304	NA	NA	29120152	291	22034279	75.7	3818052	13.1	1944587	6.7	95.5	0	752427	2.6	570807	2.0
SCANC_S_Iso_SRR17648047	SRR17648047	PRJNA798078	Schistocerca_cancellata	SAMN25046307	NA	4293849380	TEXAS_A&M_UNIVERSITY	SRX13816315	Illumina_HiSeq_4000	PAIRED	cDNA	TRANSCRIPTOMIC	ILLUMINA	2022-01-17T00:00:00Z	i291_h	SRP355464	i291_h	300	10918195500	Argentina	South_America	2016-03	female	Last_nymphal_instar	Last_nymphal_instar	Head	Isolated	i291	NA	NA	27596056	290	22616023	82.0	2389189	8.7	1395655	5.1	95.7	0	724138	2.6	471051	1.7
SCANC_S_Iso_SRR17648051	SRR17648051	PRJNA798078	Schistocerca_cancellata	SAMN25046321	NA	4014897600	TEXAS_A&M_UNIVERSITY	SRX13816311	Illumina_HiSeq_4000	PAIRED	cDNA	TRANSCRIPTOMIC	ILLUMINA	2022-01-17T00:00:00Z	scif_327_h	SRP355464	scif_327_h	300	9994648800	Argentina	South_America	2016-03	female	Last_nymphal_instar	Last_nymphal_instar	Head	Isolated	scif_327	NA	NA	24511528	291	18809348	76.7	2905572	11.9	1631183	6.7	95.2	0	682006	2.8	483419	2.0
SCANC_S_Iso_SRR17648053	SRR17648053	PRJNA798078	Schistocerca_cancellata	SAMN25046319	NA	4623718648	TEXAS_A&M_UNIVERSITY	SRX13816309	Illumina_HiSeq_4000	PAIRED	cDNA	TRANSCRIPTOMIC	ILLUMINA	2022-01-17T00:00:00Z	scif_325_h	SRP355464	scif_325_h	300	11794269600	Argentina	South_America	2016-03	female	Last_nymphal_instar	Last_nymphal_instar	Head	Isolated	scif_325	NA	NA	29710148	291	22552563	75.9	3971379	13.4	1900092	6.4	95.7	0	874602	2.9	411512	1.4
SCANC_S_Iso_SRR17648055	SRR17648055	PRJNA798078	Schistocerca_cancellata	SAMN25046317	NA	3834914303	TEXAS_A&M_UNIVERSITY	SRX13816307	Illumina_HiSeq_4000	PAIRED	cDNA	TRANSCRIPTOMIC	ILLUMINA	2022-01-17T00:00:00Z	scif_318h	SRP355464	scif_318h	300	9543040200	Argentina	South_America	2016-03	female	Last_nymphal_instar	Last_nymphal_instar	Head	Isolated	scif_318	NA	NA	23056561	291	17832094	77.3	2721226	11.8	1395132	6.1	95.2	0	654737	2.8	453372	2.0
SGREG_G_Crd_DRR124541	DRR124541	PRJDB6763	Schistocerca_gregaria	SAMD00112377	NA	2943623243	NIAS	DRX117344	Illumina_HiSeq_2000	PAIRED	RANDOM	TRANSCRIPTOMIC	ILLUMINA	2020-02-13T00:00:00Z	SAMD00112377	DRP005832	dsVE_head	202	4158094856	NA	NA	NA	NA	NA	day_2_of_anti-penultimate_instar	Head	NA	dsVE_head	Niger	NA	19546238	193	16670616	85.3	857345	4.4	605598	3.1	92.8	0	394809	2.0	1017870	5.2
SGREG_G_Crd_DRR124542	DRR124542	PRJDB6763	Schistocerca_gregaria	SAMD00112378	NA	3015542407	NIAS	DRX117345	Illumina_HiSeq_2000	PAIRED	RANDOM	TRANSCRIPTOMIC	ILLUMINA	2020-02-13T00:00:00Z	SAMD00112378	DRP005832	dsCRZ_head	202	4249338054	NA	NA	NA	NA	NA	day_2_of_anti-penultimate_instar	Head	NA	dsCRZ_head	Niger	NA	19922112	192	16878323	84.7	894751	4.5	634902	3.2	92.4	0	417611	2.1	1096525	5.5
SGREG_G_Crd_DRR124543	DRR124543	PRJDB6763	Schistocerca_gregaria	SAMD00112379	NA	3246312913	NIAS	DRX117346	Illumina_HiSeq_2000	PAIRED	RANDOM	TRANSCRIPTOMIC	ILLUMINA	2020-02-13T00:00:00Z	SAMD00112379	DRP005832	Alb_head	202	4602508794	NA	NA	NA	NA	NA	day_2_of_anti-penultimate_instar	Head	NA	Alb_head	Albino	NA	21619901	193	17028843	78.8	1478108	6.8	951704	4.4	90.0	0	466767	2.2	1694479	7.8
SNITE_G_Crd_SRR11815202	SRR11815202	PRJNA633949	Schistocerca_nitens	SAMN14978112	Crowded	2632884731	TEXAS_A&M_UNIVERSITY	SRX8366272	Illumina_HiSeq_4000	PAIRED	RT-PCR	TRANSCRIPTOMIC	ILLUMINA	2020-05-20T00:00:00Z	SNIT_C5_H	SRP262381	SNIT_C5_H_lib	300	6396174900	NA	NA	2016	female	Last_nymphal_instar	NA	Head	Crowded	SNIT_C5	NA	NA	20939826	290	17165493	82.0	2242670	10.7	174106	0.8	93.5	0	816624	3.9	540933	2.6
SNITE_G_Crd_SRR11815203	SRR11815203	PRJNA633949	Schistocerca_nitens	SAMN14978111	Crowded	2303765785	TEXAS_A&M_UNIVERSITY	SRX8366271	Illumina_HiSeq_4000	PAIRED	RT-PCR	TRANSCRIPTOMIC	ILLUMINA	2020-05-20T00:00:00Z	SNIT_C4_H	SRP262381	SNIT_C4_H_lib	300	5036923200	NA	NA	2016	female	Last_nymphal_instar	NA	Head	Crowded	SNIT_C4	NA	NA	16328286	268	13462390	82.4	1918654	11.8	95438	0.6	94.8	0	426305	2.6	425499	2.6
SNITE_G_Crd_SRR11815204	SRR11815204	PRJNA633949	Schistocerca_nitens	SAMN14978110	Crowded	3171774642	TEXAS_A&M_UNIVERSITY	SRX8366270	Illumina_HiSeq_4000	PAIRED	RT-PCR	TRANSCRIPTOMIC	ILLUMINA	2020-05-20T00:00:00Z	SNIT_C3_H	SRP262381	SNIT_C3_H_lib	300	8628352200	NA	NA	2016	female	Last_nymphal_instar	NA	Head	Crowded	SNIT_C3	NA	NA	28154635	295	24095428	85.6	2598118	9.2	209246	0.7	95.6	0	776217	2.8	475626	1.7
SNITE_G_Crd_SRR11815205	SRR11815205	PRJNA633949	Schistocerca_nitens	SAMN14978109	Crowded	3522930401	TEXAS_A&M_UNIVERSITY	SRX8366269	Illumina_HiSeq_4000	PAIRED	RT-PCR	TRANSCRIPTOMIC	ILLUMINA	2020-05-20T00:00:00Z	SNIT_C2_H	SRP262381	SNIT_C2_H_lib	300	8979629100	NA	NA	2016	female	Last_nymphal_instar	NA	Head	Crowded	SNIT_C2	NA	NA	29269843	293	23701602	81.0	2925862	10.0	239948	0.8	91.8	0	1069918	3.7	1332513	4.6
SNITE_G_Crd_SRR11815206	SRR11815206	PRJNA633949	Schistocerca_nitens	SAMN14978108	Crowded	2512204128	TEXAS_A&M_UNIVERSITY	SRX8366268	Illumina_HiSeq_4000	PAIRED	RT-PCR	TRANSCRIPTOMIC	ILLUMINA	2020-05-20T00:00:00Z	SNIT_C1_H	SRP262381	SNIT_C1_H_lib	300	6738560400	NA	NA	2016	female	Last_nymphal_instar	NA	Head	Crowded	SNIT_C1	NA	NA	21968596	294	16623904	75.7	3209434	14.6	263490	1.2	91.5	0	867250	3.9	1004518	4.6
SNITE_S_Iso_SRR11815213	SRR11815213	PRJNA633949	Schistocerca_nitens	SAMN14978102	Isolated	2630672935	TEXAS_A&M_UNIVERSITY	SRX8366261	Illumina_HiSeq_4000	PAIRED	RT-PCR	TRANSCRIPTOMIC	ILLUMINA	2020-05-20T00:00:00Z	SNIT_I5_H	SRP262381	SNIT_I5_H_lib	300	6384000000	NA	NA	2016	female	Last_nymphal_instar	NA	Head	Isolated	SNIT_I5	NA	NA	20899224	290	18400876	88.0	1348966	6.5	122516	0.6	95.1	0	589340	2.8	437526	2.1
SNITE_S_Iso_SRR11815214	SRR11815214	PRJNA633949	Schistocerca_nitens	SAMN14978101	Isolated	2503422019	TEXAS_A&M_UNIVERSITY	SRX8366260	Illumina_HiSeq_4000	PAIRED	RT-PCR	TRANSCRIPTOMIC	ILLUMINA	2020-05-20T00:00:00Z	SNIT_I4_H	SRP262381	SNIT_I4_H_lib	300	6059909100	NA	NA	2016	female	Last_nymphal_instar	NA	Head	Isolated	SNIT_I4	NA	NA	19816738	289	16572332	83.6	2074570	10.5	154181	0.8	94.9	0	472222	2.4	543433	2.7
SNITE_S_Iso_SRR11815215	SRR11815215	PRJNA633949	Schistocerca_nitens	SAMN14978100	Isolated	2862124708	TEXAS_A&M_UNIVERSITY	SRX8366259	Illumina_HiSeq_4000	PAIRED	RT-PCR	TRANSCRIPTOMIC	ILLUMINA	2020-05-20T00:00:00Z	SNIT_I3_H	SRP262381	SNIT_I3_H_lib	300	7745055000	NA	NA	2016	female	Last_nymphal_instar	NA	Head	Isolated	SNIT_I3	NA	NA	25266987	294	21436264	84.8	2217880	8.8	196746	0.8	94.4	0	805388	3.2	610709	2.4
SNITE_S_Iso_SRR11815216	SRR11815216	PRJNA633949	Schistocerca_nitens	SAMN14978099	Isolated	3472547472	TEXAS_A&M_UNIVERSITY	SRX8366258	Illumina_HiSeq_4000	PAIRED	RT-PCR	TRANSCRIPTOMIC	ILLUMINA	2020-05-20T00:00:00Z	SNIT_I2_H	SRP262381	SNIT_I2_H_lib	300	8828587200	NA	NA	2016	female	Last_nymphal_instar	NA	Head	Isolated	SNIT_I2	NA	NA	28710416	293	24597460	85.7	1760176	6.1	212546	0.7	92.5	0	1164185	4.1	976049	3.4
SNITE_S_Iso_SRR11815217	SRR11815217	PRJNA633949	Schistocerca_nitens	SAMN14978098	Isolated	2349561396	TEXAS_A&M_UNIVERSITY	SRX8366257	Illumina_HiSeq_4000	PAIRED	RT-PCR	TRANSCRIPTOMIC	ILLUMINA	2020-05-20T00:00:00Z	SNIT_I1_H	SRP262381	SNIT_I1_H_lib	300	6302160000	NA	NA	2016	female	Last_nymphal_instar	NA	Head	Isolated	SNIT_I1	NA	NA	20540504	294	15462324	75.3	3151715	15.3	422698	2.1	92.7	0	675970	3.3	827797	4.0
SPICE_G_Crd_SRR11815268	SRR11815268	PRJNA633949	Schistocerca_piceifrons	SAMN14978052	Crowded	2190754675	TEXAS_A&M_UNIVERSITY	SRX8366206	Illumina_HiSeq_4000	PAIRED	RT-PCR	TRANSCRIPTOMIC	ILLUMINA	2020-05-20T00:00:00Z	SPIC_C5_H	SRP262381	SPIC_C5_H_lib	300	5320288800	NA	NA	2016	female	Last_nymphal_instar	NA	Head	Crowded	SPIC_C5	NA	NA	17421076	289	13103465	75.2	2791877	16.0	774233	4.4	95.7	0	355989	2.0	395512	2.3
SPICE_G_Crd_SRR11815269	SRR11815269	PRJNA633949	Schistocerca_piceifrons	SAMN14978051	Crowded	2390772269	TEXAS_A&M_UNIVERSITY	SRX8366205	Illumina_HiSeq_4000	PAIRED	RT-PCR	TRANSCRIPTOMIC	ILLUMINA	2020-05-20T00:00:00Z	SPIC_C4_H	SRP262381	SPIC_C4_H_lib	300	5746010700	NA	NA	2016	female	Last_nymphal_instar	NA	Head	Crowded	SPIC_C4	NA	NA	18776943	289	14316171	76.2	2996922	16.0	804801	4.3	96.5	0	325559	1.7	333490	1.8
SPICE_G_Crd_SRR11815270	SRR11815270	PRJNA633949	Schistocerca_piceifrons	SAMN14978050	Crowded	2966776901	TEXAS_A&M_UNIVERSITY	SRX8366204	Illumina_HiSeq_4000	PAIRED	RT-PCR	TRANSCRIPTOMIC	ILLUMINA	2020-05-20T00:00:00Z	SPIC_C3_H	SRP262381	SPIC_C3_H_lib	300	8071733700	NA	NA	2016	female	Last_nymphal_instar	NA	Head	Crowded	SPIC_C3	NA	NA	26349638	295	20252863	76.9	4156350	15.8	962382	3.7	96.3	0	614316	2.3	363727	1.4
SPICE_G_Crd_SRR11815271	SRR11815271	PRJNA633949	Schistocerca_piceifrons	SAMN14978049	Crowded	3725445525	TEXAS_A&M_UNIVERSITY	SRX8366203	Illumina_HiSeq_4000	PAIRED	RT-PCR	TRANSCRIPTOMIC	ILLUMINA	2020-05-20T00:00:00Z	SPIC_C2_H	SRP262381	SPIC_C2_H_lib	300	9464971200	NA	NA	2016	female	Last_nymphal_instar	NA	Head	Crowded	SPIC_C2	NA	NA	30788192	293	23124022	75.1	4543106	14.8	1186547	3.9	93.7	0	1009786	3.3	924731	3.0
